No.,Reaction number in iLL672,ORF,glucose(aerobe),glucose (anaerobe),galactose,glycerol,ethanol,Plate,row,col,ORF,gene name(s),brief id 
2757,    'not included in iLL672',YKL167C,,,,,,29,G,9,YKL167C,MRP49,"16 kDa mitochondrial ribosomal large subunit protein, protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit"
2758,    'not included in iLL672',YKL168C,,,,,,29,G,10,YKL168C,KKQ8,"probable serine threonine-specific protein kinase (EC 2.7.1.-), biological_process unknown, protein kinase, "
2759,    'not included in iLL672',YKL169C,,,0,0,0,29,G,11,YKL169C,,"biological_process unknown, molecular_function unknown, "
2760,    'not included in iLL672',YKL170W,,,0,0,0,29,G,12,YKL170W,"MRPL38, YML38","mitochondrial ribosomal protein L14, protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit"
2761,    'not included in iLL672',YKL171W,,,,,,29,H,1,YKL171W,,"probable serine threonine-specific protein kinase (EC 2.7.1.-), biological_process unknown,"
2762,    'not included in iLL672',YKL174C,,,,,,29,H,2,YKL174C,,"probable transport protein, biological_process unknown, molecular_function unknown, "
2763,    'not included in iLL672',YKL175W,,,,,,29,H,3,YKL175W,ZRT3,"zinc ion transport*, zinc ion transporter, vacuolar membrane"
2764,    'not included in iLL672',YKL176C,,,,,,29,H,4,YKL176C,LST4,"Required for amino acid permease transport from the Golgi to the cell surface,molecular_function unknown, "
2765,    'not included in iLL672',YKL177W,,,,,,29,H,5,YKL177W,,"biological_process unknown, molecular_function unknown, "
2766,    'not included in iLL672',YKL178C,,,,,,29,H,6,YKL178C,"STE3, DAF2","a factor recptor, signal transduction of mating signal (sensu Saccharomyces), mating-type a-factor pheromone receptor, integral plasma membrane protein"
2767,    'not included in iLL672',YKL179C,,,,,,29,H,7,YKL179C,,"kinesin-like protein, biological_process unknown, molecular_function unknown, "
2768,    'not included in iLL672',YKL183W,,,,,,29,H,8,YKL183W,,"biological_process unknown, molecular_function unknown, "
2769,    'part of iLL672',YKL184W,,,,,,29,H,9,YKL184W,"SPE1, ORD1, SPE10","Ornithine decarboxylase,ornithine decarboxylase,"
2770,    'not included in iLL672',YKL185W,,,,,,29,H,10,YKL185W,ASH1,"probable purine nucleotide-binding protein,transcription factor, "
2771,    'not included in iLL672',YKL187C,,,,,,29,H,11,YKL187C,,"biological_process unknown, molecular_function unknown, "
2772,    'not included in iLL672',YKL188C,,,,,,29,H,12,YKL188C,PXA2,"peroxisomal ABC transporter 2, transport,"
2773,    'not included in iLL672',YKL190W,,,,,,30,A,1,YKL190W,"CNB1, CRV1, YCN2","Type 2B protein phosphatase; regulatory B subunit of calcineurin, cell wall organization and biogenesis*, calcium-dependent protein serine/threonine phosphatase, cytoplasm"
2774,    'not included in iLL672',YKL191W,,,,,,30,A,2,YKL191W,DPH2,"diphthamide synthesis protein,molecular_function unknown, "
2775,    'not included in iLL672',YKL197C,,,,,,30,A,3,YKL197C,"PEX1, PAS1","member of the AAA-protein family, peroxisome organization and biogenesis, adenosinetriphosphatase, cellular_component unknown"
2776,    'not included in iLL672',YKL198C,,,,,,30,A,4,YKL198C,"PTK1, KKT8, STK1","probable serine threonine-specific protein kinase (EC 2.7.1.-), polyamine transport,"
2777,    'not included in iLL672',YKL199C,,,,,,30,A,5,YKL199C,YKT9,"Protein of unknown function, biological_process unknown, molecular_function unknown, "
2778,    'not included in iLL672',YKL200C,,,,,,30,A,6,YKL200C,,
2779,    'not included in iLL672',YKL205W,,,,,,30,A,7,YKL205W,LOS1,"nuclear protein LOS1, tRNA splicing,"
2780,    'not included in iLL672',YKL206C,,,,,,30,A,8,YKL206C,,"biological_process unknown, molecular_function unknown, "
2781,    'not included in iLL672',YKL207W,,,,,,30,A,9,YKL207W,,"biological_process unknown, molecular_function unknown, "
2782,    'not included in iLL672',YKL208W,,,,,,30,A,10,YKL208W,CBT1,"involved in RNA splicing,molecular_function unknown, "
2783,    'part of iLL672',YKL211C,0,0,0,0,0,30,A,11,YKL211C,TRP3,"anthranilate synthase Component II and indole-3-phosphate (multifunctional enzyme),indole-3-glycerol-phosphate synthase, "
2784,    'not included in iLL672',YKL212W,,,,,,30,A,12,YKL212W,"SAC1, RSD1",integral membrane protein localizing to the ER and Golgi 
2785,    'not included in iLL672',YKL213C,,,,,,30,B,1,YKL213C,"DOA1, UFD3, ZZZ4","phospholipase A2-activating protein, ubiquitin-dependent protein degradation, molecular_function unknown, cellular_component unknown"
2786,    'not included in iLL672',YKL214C,,,,,,30,B,2,YKL214C,,"biological_process unknown, molecular_function unknown, "
2787,    'part of iLL672',YKL216W,,,,,,30,B,3,YKL216W,URA1,"dihydroorotate dehydrogenase,dihydroorotate oxidase, "
2788,    'part of iLL672',YKL217W,,,,,,30,B,4,YKL217W,JEN1,"carboxylic acid transporter protein homolog, transport, lactate transporter, "
2789,    'not included in iLL672',YKL218C,,,,,,30,B,5,YKL218C,SRY1,"Pyridoxal-5'phosphate-dependent enzyme homologous to mouse glial serine racemase, serine metabolism,"
2790,    'not included in iLL672',YKL221W,,,,,,30,B,6,YKL221W,,"biological_process unknown, molecular_function unknown, "
2791,    'not included in iLL672',YKL222C,,,,,,30,B,7,YKL222C,,"biological_process unknown, molecular_function unknown, "
2792,    'not included in iLL672',YKR001C,,,,,,30,B,8,YKR001C,"VPS1, GRD1, LAM1, SPO15, VPL1","putative GTP-binding protein; similar to mammalian Mx proteins, protein-vacuolar targeting*, GTPase, membrane fraction"
2793,    'not included in iLL672',YKR003W,,,,,,30,B,9,YKR003W,OSH6,"biological_process unknown, molecular_function unknown, "
2794,    'not included in iLL672',YKR005C,,,,,,30,B,10,YKR005C,,"biological_process unknown, molecular_function unknown, "
2795,    'not included in iLL672',YKR006C,,,,,,30,B,11,YKR006C,"MRPL13, YK105, YML13","mitochondrial ribosomal protein YmL13, protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit"
2796,    'not included in iLL672',YKR007W,,,,,,30,B,12,YKR007W,,"biological_process unknown, molecular_function unknown, "
2797,    'part of iLL672',YKR009C,,,,,,30,C,1,YKR009C,"FOX2, POX2","peroxisomal multifunctional beta-oxidation protein, fatty acid beta-oxidation, 3-hydroxyacyl-CoA dehydrogenase*, peroxisomal matrix"
2798,    'not included in iLL672',YKR011C,,,,,,30,C,2,YKR011C,TOS5,"biological_process unknown, molecular_function unknown, cellular_component unknown"
2799,    'not included in iLL672',YKR012C,,,,,,30,C,3,YKR012C,,"biological_process unknown, molecular_function unknown, "
2800,    'not included in iLL672',YKR013W,,,,,,30,C,4,YKR013W,PRY2,"Similar to plant PR-1 class of pathogen related proteins, biological_process unknown, molecular_function unknown, "
2801,    'not included in iLL672',YKR014C,,,,,,30,C,5,YKR014C,YPT52,"probable purine nucleotide-binding protein, endocytosis,"
2802,    'not included in iLL672',YKR015C,,,,,,30,C,6,YKR015C,,"biological_process unknown, molecular_function unknown, "
2803,    'not included in iLL672',YKR016W,,,,,,30,C,7,YKR016W,,"biological_process unknown, molecular_function unknown, "
2804,    'not included in iLL672',YKR017C,,,,,,30,C,8,YKR017C,,"biological_process unknown, molecular_function unknown, "
2805,    'not included in iLL672',YKR018C,,,,,,30,C,9,YKR018C,,"biological_process unknown, molecular_function unknown, "
2806,    'not included in iLL672',YKR020W,,,,,,30,C,10,YKR020W,,"biological_process unknown, molecular_function unknown, "
2807,    'not included in iLL672',YKR021W,,,,,,30,C,11,YKR021W,,"biological_process unknown, molecular_function unknown, "
2808,    'not included in iLL672',YKR024C,,,,, ,30,C,12,YKR024C,DBP7,"putative RNA helicase, 35S primary transcript processing*, ATP dependent RNA helicase, nucleolus"
2809,    'not included in iLL672',YKR026C,,,,,,30,D,1,YKR026C,"GCN3, AAS2",34 KD alpha subunit of eIF2B 
2810,    'not included in iLL672',YKR030W,,,,,,30,D,2,YKR030W,,"biological_process unknown, molecular_function unknown, "
2811,    'not included in iLL672',YKR031C,,,,,,30,D,3,YKR031C,"SPO14, PLD1","Phospholipase D,phospholipase D,"
2812,    'not included in iLL672',YKR032W,,,,,,30,D,4,YKR032W,,"biological_process unknown, molecular_function unknown, "
2813,    'not included in iLL672',YKR033C,,,,,,30,D,5,YKR033C,,"biological_process unknown, molecular_function unknown, "
2814,    'not included in iLL672',YKR035C,,,,, ,30,D,6,YKR035C,,"biological_process unknown, molecular_function unknown, "
2815,    'not included in iLL672',YKR042W,,,,, ,30,D,7,YKR042W,UTH1,"involved in cell growth,molecular_function unknown, "
2816,    'not included in iLL672',YKR043C,,,,,,30,D,8,YKR043C,,"biological_process unknown, molecular_function unknown, "
2817,    'not included in iLL672',YKR044W,,,,,,30,D,9,YKR044W,,"biological_process unknown, molecular_function unknown, "
2818,    'not included in iLL672',YKR045C,,,,,,30,D,10,YKR045C,,"biological_process unknown, molecular_function unknown, "
2819,    'not included in iLL672',YKR047W,,,,,,30,D,11,YKR047W,,"biological_process unknown, molecular_function unknown, "
2820,    'not included in iLL672',YKR048C,,,,,,30,D,12,YKR048C,NAP1,nucleosome assembly protein I 
2821,    'not included in iLL672',YKR049C,,,,,,30,E,1,YKR049C,,"biological_process unknown, molecular_function unknown, "
2822,    'not included in iLL672',YKR050W,,,,,,30,E,2,YKR050W,"TRK2, RPD2","membrane protein; low affinity potassium transport, transport,"
2823,    'not included in iLL672',YKR051W,,,,,,30,E,3,YKR051W,,"biological_process unknown, molecular_function unknown, "
2824,    'not included in iLL672',YKR052C,,,,,,30,E,4,YKR052C,MRS4,"mitochondrial carrier protein, highly homologous to Mrs3p, transport*, carrier, mitochondrion"
2825,    'not included in iLL672',YKR054C,,,,,,30,E,5,YKR054C,"DYN1, DHC1, PAC6","heavy chain of cytoplasmic dynein, mitotic chromosome segregation*, motor, spindle pole body*"
2826,    'not included in iLL672',YKR055W,,,,,,30,E,6,YKR055W,RHO4,"ras homolog--GTP binding protein, establishment of cell polarity (sensu Saccharomyces)*, signal transducer*, intracellular"
2827,    'not included in iLL672',YKR056W,,,,,,30,E,7,YKR056W,"RNC1, NUC2","Endo-exonuclease, biological_process unknown,"
2828,    'not included in iLL672',YKR057W,,,0,0,0,30,E,8,YKR057W,"RPS21A, RPS25","Ribosomal protein S21A (S26A) (YS25), protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit"
2829,    'not included in iLL672',YKR058W,0,0,0,0,0,30,E,9,YKR058W,GLG1,"glycogen synthesis initiator, glycogen metabolism,"
2830,    'not included in iLL672',YKR059W,,,,,,30,E,10,YKR059W,TIF1,"translation initiation factor eIF4A, protein synthesis initiation, translation initiation factor, ribosome"
2831,    'not included in iLL672',YKR060W,,,,,,30,E,11,YKR060W,,"biological_process unknown, molecular_function unknown, "
2832,    'not included in iLL672',YKR061W,,,0,0,0,30,E,12,YKR061W,KTR2,"putative mannosyltransferase; type 2 membrane protein, N-linked glycosylation*, mannosyltransferase, Golgi apparatus"
2833,    'not included in iLL672',YKR064W,,,,,,30,F,1,YKR064W,,"biological_process unknown, molecular_function unknown, "
2834,    'not included in iLL672',YKR065C,,,,,,30,F,2,YKR065C,,"biological_process unknown, molecular_function unknown, "
2835,    'not included in iLL672',YLR228C,,,,,,30,F,3,YLR228C,ECM22,"involved in cell wall biogenesis (putative), biological_process unknown, molecular_function unknown, "
2836,    'part of iLL672',YLR231C,,,,,,30,F,4,YLR231C,,"biological_process unknown, molecular_function unknown, "
2837,    'not included in iLL672',YLR232W,,,,,,30,F,5,YLR232W,,"biological_process unknown, molecular_function unknown, "
2838,    'not included in iLL672',YLR233C,,,,, ,30,F,6,YLR233C,EST1,involved in telomere length regulation 
2839,    'not included in iLL672',YLR234W,,,,,,30,F,7,YLR234W,"TOP3, EDR1","DNA Topoisomerase III, meiotic recombination*, DNA topoisomerase I,"
2840,    'not included in iLL672',YLR235C,,,,,,30,F,8,YLR235C,,"biological_process unknown, molecular_function unknown, "
2841,    'not included in iLL672',YLR236C,,,,,,30,F,9,YLR236C,,"biological_process unknown, molecular_function unknown, "
2842,    'not included in iLL672',YLR238W,,,0,0,0,30,F,10,YLR238W,,"Protein containing a forkhead associated (FHA) domain, which bind phosphopeptides"
2843,    'not included in iLL672',YLR239C,,,,,,30,F,11,YLR239C,,"biological_process unknown, molecular_function unknown, "
2844,    'not included in iLL672',YLR240W,,,,,,30,F,12,YLR240W,"VPS34, END12, PEP15, VPL7, VPT29","phosphatidylinositol 3-kinase, protein phosphorylation*, protein kinase*, membrane fraction"
2845,    'not included in iLL672',YLR241W,,,,,,30,G,1,YLR241W,,"biological_process unknown,"
2846,    'not included in iLL672',YLR242C,,,,,,30,G,2,YLR242C,ARV1,"similar to Nup120p and C.elegans R05H5.5 protein and Nup120p, biological_process unknown, molecular_function unknown, "
2847,    'not included in iLL672',YLR244C,,,,,,30,G,3,YLR244C,MAP1,"methionine aminopeptidase,methionyl aminopeptidase, "
2848,    'not included in iLL672',YLR247C,,,,,,30,G,4,YLR247C,,"biological_process unknown, molecular_function unknown, "
2849,    'not included in iLL672',YLR248W,,,,,,30,G,5,YLR248W,"RCK2, CLK1, CMK3","Serine threonine protein kinase, biological_process unknown,"
2850,    'not included in iLL672',YLR250W,,,,,,30,G,6,YLR250W,SSP120,"secretory protein,molecular_function unknown, "
2851,    'not included in iLL672',YLR251W,,,,,,30,G,7,YLR251W,,"biological_process unknown, molecular_function unknown, "
2852,    'not included in iLL672',YLR252W,,,,,,30,G,8,YLR252W,,"biological_process unknown, molecular_function unknown, "
2853,    'not included in iLL672',YLR253W,,,,,,30,G,9,YLR253W,,"biological_process unknown, molecular_function unknown, "
2854,    'not included in iLL672',YLR254C,,,,,,30,G,10,YLR254C,,"biological_process unknown, molecular_function unknown, "
2855,    'not included in iLL672',YLR255C,,,0,0,0,30,G,11,YLR255C,,"biological_process unknown, molecular_function unknown, "
2856,    'not included in iLL672',YLR257W,,,0,0,0,30,G,12,YLR257W,,"biological_process unknown, molecular_function unknown, "
2857,    'part of iLL672',YLR258W,,,,,,30,H,1,YLR258W,GSY2,"Glycogen synthase (UDP-gluocse--starch glucosyltransferase), glycogen metabolism, glycogen (starch) synthase, cellular_component unknown"
2858,    'part of iLL672',YLR260W,,,,,,30,H,2,YLR260W,LCB5,"sphingoid long chain base (LCB) kinase, sphingolipid metabolism,"
2859,    'not included in iLL672',YLR261C,,,,,,30,H,3,YLR261C,,"biological_process unknown, molecular_function unknown, "
2860,    'not included in iLL672',YLR262C,,,,,,30,H,4,YLR262C,YPT6,"highly homologous to the human GTPase, Rab6 "
2861,    'not included in iLL672',YLR263W,,,,,,30,H,5,YLR263W,RED1,"Meiosis-specific protein involved in homologous chromosome synapsis and chiasmata formation; localizes to chromosome cores independently of Mei4p and Spo11p; mRNA is induced in meiosis, synaptonemal complex formation, molecular_function unknown, synaptone"
2862,    'not included in iLL672',YLR264W,,,,,,30,H,6,YLR264W,"RPS28B, RPS33B","Ribosomal protein S28B (S33B) (YS27), protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit"
2863,    'not included in iLL672',YLR265C,,,,,,30,H,7,YLR265C,NEJ1,"Mating-type regulated component of NHEJ, biological_process unknown, molecular_function unknown, "
2864,    'not included in iLL672',YLR266C,,,,,,30,H,8,YLR266C,,"biological_process unknown, molecular_function unknown, "
2865,    'not included in iLL672',YLR267W,,,,,,30,H,9,YLR267W,BOP2,"Bypass of PAM1, biological_process unknown, molecular_function unknown, "
2866,    'not included in iLL672',YLR268W,,,,,,30,H,10,YLR268W,"SEC22, SLY2, TSL26","Synaptobrevin (v-SNARE) homolog, non-selective vesicle fusion*, v-SNARE, inter-Golgi transport vesicle*"
2867,    'not included in iLL672',YLR269C,,,,,,30,H,11,YLR269C,,"biological_process unknown, molecular_function unknown, "
2868,    'not included in iLL672',YLR270W,,,,,,30,H,12,YLR270W,,"biological_process unknown, molecular_function unknown, "
2869,    'not included in iLL672',YLR271W,,,,,,31,A,1,YLR271W,,"biological_process unknown, molecular_function unknown, "
2870,    'not included in iLL672',YLR273C,,,,,,31,A,2,YLR273C,PIG1,"Protein similar to Gac1p, a putative type 1 protein phosphatase targeting subunit "
2871,    'not included in iLL672',YLR278C,,,,,,31,A,3,YLR278C,,"biological_process unknown, molecular_function unknown, "
2872,    'not included in iLL672',YLR279W,,,,,,31,A,4,YLR279W,,"biological_process unknown, molecular_function unknown, "
2873,    'not included in iLL672',YLR280C,,,,,,31,A,5,YLR280C,,"biological_process unknown, molecular_function unknown, "
2874,    'not included in iLL672',YLR281C,,,,,,31,A,6,YLR281C,,"biological_process unknown, molecular_function unknown, "
